referral_date,referrer_customer_id,sign_up_customer_id
2021-07-18,795,1771
2021-04-12,577,1510
2021-07-07,868,1858
2021-10-25,801,1778
2021-08-15,690,1637
2021-01-17,148,1022
2021-03-16,372,1271
2021-05-14,504,1427
2021-06-13,541,1472
2021-06-30,37,975
2021-12-30,3,872
2021-04-26,343,1237
2021-12-04,496,1419
2022-01-03,292,1696
2021-04-03,716,1670
2021-02-12,586,1520
2021-12-26,373,1272
2021-01-31,559,632
2021-03-14,54,1167
2021-05-30,191,1071
2021-09-28,224,1111
2021-12-01,745,1710
2021-12-08,569,1501
2021-07-22,269,1156
2021-07-13,531,1460
2021-06-25,10,425
2021-12-31,566,1498
2021-09-06,381,1282
2021-06-19,671,1614
2021-09-27,229,1116
2021-07-22,257,1144
2021-07-24,107,260
2021-07-17,681,1627
2021-04-15,391,1296
2021-05-04,461,1373
2021-09-08,597,1533
2020-10-19,826,1809
2021-04-03,358,1256
2021-10-19,436,1346
2021-11-17,332,1843
2021-12-27,170,1046
2021-07-17,664,1606
2021-09-30,71,945
2022-01-01,863,1853
2021-10-25,383,1284
2021-08-24,467,1381
2021-08-03,502,1425
2021-08-18,850,1837
2021-10-31,346,1241
2021-07-14,6,1034
2021-04-28,155,1030
2021-12-19,95,969
2021-03-22,213,1098
2021-09-05,476,1391
2021-05-06,211,1096
2021-03-10,385,1287
2021-07-29,633,1570
2021-07-20,15,885
2021-07-24,271,1158
2021-08-06,422,1330
2022-01-01,600,1536
2021-07-10,542,1473
2021-05-28,740,1704
2021-09-13,99,973
2021-07-24,778,1749
2021-08-30,438,1348
2021-06-22,120,994
2021-09-12,268,1155
2021-07-22,178,1056
2021-11-06,183,1062
2021-09-06,37,1295
2021-06-11,605,1541
2021-12-15,117,991
2021-08-07,735,1697
2021-08-02,680,1626
2021-07-17,173,1049
2021-08-16,4,873
2021-11-02,645,1585
2021-08-15,403,1310
2021-09-18,862,1851
2021-04-28,49,922
2021-12-11,127,1001
2021-10-03,714,1668
2021-04-30,558,1491
2021-12-06,60,933
2021-12-29,303,1194
2021-03-27,240,1127
2021-04-14,631,1568
2021-06-02,186,1066
2021-10-30,230,1117
2021-10-02,696,1644
2021-07-23,245,1133
2021-09-05,147,1021
2021-12-28,158,1033
2021-07-24,8,1392
2021-07-20,811,1788
2022-01-02,854,1841
2021-07-30,459,1371
2021-12-20,216,1102
2021-07-23,678,1623
2021-06-16,694,1642
2021-10-23,388,1292
2021-08-17,340,1233
2021-10-23,340,1285
2021-10-05,200,1082
2021-07-26,32,904
2021-12-10,827,1810
2021-10-08,28,900
2021-07-17,773,1744
2021-07-29,146,1020
2021-07-23,347,1244
2021-04-12,36,1183
2021-08-14,511,1434
2021-06-14,45,918
2021-04-01,387,1291
2021-07-04,618,1555
2021-09-06,521,1444
2021-10-10,652,1703
2021-07-23,19,890
2021-07-24,153,1028
2021-07-23,759,1727
2021-12-26,582,1516
2021-08-04,297,1188
2021-12-17,357,1255
2021-09-11,276,1164
2021-07-23,349,1246
2021-06-28,364,1262
2021-07-18,606,1542
2021-11-15,581,1514
2021-06-17,567,1499
2021-08-08,717,1671
2021-07-17,6,1588
2021-04-25,147,1412
2021-12-25,401,1307
2021-07-01,553,1484
2021-04-30,535,1462
2021-07-23,231,1118
2022-01-01,839,1825
2021-08-23,280,1169
2021-09-23,444,1354
2021-10-14,523,1446
2021-07-20,856,1844
2021-09-18,531,1617
2021-11-29,677,1622
2021-04-04,8,1265
2021-07-28,562,1494
2021-07-27,36,1083
2021-07-21,361,1259
2021-11-15,834,1820
2021-11-20,478,1394
2021-01-05,168,1044
2020-12-27,405,1312
2021-11-01,732,1693
2021-07-08,457,1369
2021-11-29,637,1576
2021-06-08,243,1131
2021-12-19,747,1712
2021-07-21,802,1779
2021-07-24,149,1024
2021-12-18,729,1689
2021-08-30,636,1575
2021-08-16,788,1760
2021-07-23,691,1638
2021-07-04,131,1486
2021-07-19,354,1251
2021-06-18,8,1527
2021-07-23,644,1584
2021-07-24,8,1411
2021-08-01,638,1577
2021-07-20,56,929
2021-07-18,627,1564
2021-07-23,85,959
2021-04-08,34,1659
2021-08-19,122,996
2021-07-21,750,1716
2021-07-24,178,1289
2021-09-17,91,965
2021-11-23,860,1848
2021-03-03,140,1327
2021-09-08,8,1253
2021-05-09,155,1656
2021-10-06,424,1332
2021-11-14,8,1356
2021-05-14,421,1329
2021-11-01,443,1353
2021-12-06,367,1266
2021-09-28,171,1047
2021-07-17,325,1218
2021-07-19,384,1286
2021-08-25,126,1000
2021-07-24,514,1437
2021-09-27,589,1523
2021-11-25,489,1407
2021-04-29,791,1765
2022-01-02,109,983
2021-09-28,585,1519
2021-12-27,246,1134
2021-06-12,831,1815
2021-09-05,820,1802
2021-07-16,36,1852
2021-09-07,423,1331
2021-04-04,34,1708
2021-03-20,8,1713
